VCB,500223671350000
BID,265925334735000
CTG,171034235645000
TCB,73972726800000
VPB,144000713340000
MBB,123052384760000
ACB,91663589440000
HDB,75453052995000
VIB,52131394125000
LPB,73659352320000
STB,54954037655000
EIB,32755426875000
OCB,29794952263000
MSB,28900000000000
TPB,37978203750000
EVF,8134067865000
SHB,38003680050000
SSI,47585825342900
VND,17902306932300
VCI,20037500000000
HCM,11909361542000
SHS,12522613919200
MBS,11510720815900
VIX,7598197628750
FTS,8722066721550
BSI,9713311783300
CTS,5406637604850
DSC,4150651137275
BVS,2607645125700
TVB,975244065300
VDS,4242000000000
APS,564400000000
APG,1858825498200
BMS,536575187900
AGR,3693960949350
ORS,2510000000000
TVS,2905241702400
SBS,763385773200
EVS,1021763831600
TCI,895692440340
VHM,158281258625000
VIC,157858340310000
VRE,40637881080000
NVL,21938676052500
KDH,28615368561800
SSH,25803000000000
NLG,14756216012850
TCH,11092382993800
NTL,1451560810000
TDC,1135000000000
SGR,1575000000000
HLD,516000000000
NHA,1031167014000
ITC,1036035646750
HQC,1649036000000
AGG,2108244500800
DXG,8228427576900
LDG,490817637350
HDC,3674852763200
SCR,2223619175500
NDN,652087217600
HTN,818088652980
DIG,13660684688000
PDR,13409416746000
KHG,2359534826250
CEO,7308438392000
BCM,73692000000000
LHG,1970473194000
IDC,19799995740000
DTD,1243479283200
IDV,1169305275000
TIP,1501681496700
SIP,13308339963600
D2D,1263708408600
NTC,4809595992000
SZC,4319998596000
KBC,19343639926800
VGC,18606525000000
MWG,97607226957200
FRT,23842418075000
DGW,9866242137000
PET,2822906055300
HAX,1513526553000
PNJ,31963678911200
CKG,2281461695950
TLD,381985714460
DPG,3137377789200
C69,426419806800
C47,212602273650
IDJ,1023592138700
HUT,15172703405000
IJC,3500471875100
BCE,199500000000
CII,4632208029150
CTD,6352718899300
S99,836576584100
BCG,3424862133240
VC2,483835752000
L18,1196858979200
PHC,293955176600
HBC,1318581028700
FID,32130745400
KSB,1417677237000
C4G,3265371590806
VCG,9887612009000
PLC,2084610046200
HHV,3721658966300
G36,716359687635
LCG,2012232285000
FCN,1944371711750
HPG,147695556780000
MSR,13510818422640
HSG,12720034680850
ACG,6333093732000
NKG,5476178364800
KSV,9680000000000
VIF,5950000000000
PTB,4317526993500
TVN,6494562000000
GDA,3201154735610
VGS,1811168780000
SMC,784676951550
TLH,651456098600
VLB,1618138297600
HOM,299076524000
HT1,4464601958700
CTI,992249952750
BTS,667223233200
DHA,612357813000
BCC,961036533600
BTN,11610482000
POW,31381079440000
GEG,5331659623150
HDG,8133131970600
NT2,5584794962600
QTP,6590700000000
PPC,4338925500000
GAS,187184297530500
BSR,73016765956800
PLX,63205944256850
PVS,18784075197000
PVD,14880918160500
OIL,15484484074000
CNG,1263586500000
PVC,1079886357900
VLC,3830586271497
DBC,6703451494300
NAF,1110592450250
PAN,4844998592000
HNG,4788952826400
BAF,2604888000000
LTG,1555548961065
TSC,511833205000
HAG,9692040046150
MPC,6775290523900
ANV,4233206112500
FMC,3115780560850
CMX,893654142300
IDI,2046525025920
ASM,2995088092800
VHC,12906070155000
ACL,594384375150
NTP,7942967974200
APH,2182764198600
AAA,4013882208000
NHH,1162436000000
HCD,375131982400
BMP,7915952704600
CSV,1878500000000
BFC,2592568482550
LAS,2877838200000
DCM,19296630000000
DPM,14012120000000
DDV,2602071209100
DGC,41395942174000
DVP,2992000000000
VTO,1082193324300
VNA,335680000000
HAH,4289261212650
PHP,8532021200000
VIP,914087062350
PVP,1503686696600
VOS,2352000000000
PVT,9062234888000
TCL,1052529416400
GMD,24043626580200
SKG,813812794750
VTP,9036301716400
MHC,334568269120
VSC,2467819377000
TCD,1421884444120
DXP,676984502900
NCT,2519876322000
SGN,2810787536700
SAS,3966530607960
ACV,236062185286536
SCS,8531811288000
HVN,46170118527900
VJC,55677645135200
BVH,31771414299200
PVI,12157152897300
BIC,4345108959750
MIG,3134005875000
BMI,2845815628800
DVN,6511575000000
IMP,5883229716000
DHT,5516898791000
TNH,2205116030000
DHG,14015978811200
DCL,1796809338000
JVC,371250564300
FPT,164714963087500
SGT,2057248900200
FOX,45330050945396
MFS,220562708212
TTN,565052587500
VTK,597383337950
CMG,9786390294000
VGI,202906542214400
ELC,1954389328750
BMC,263963019000
NNC,489912000000
CST,1125798960575
NBC,425489926000
VPG,1048378033950
TNT,204510000000
DRG,1338633600000
DRC,3991431528000
GVR,132400000000000
DPR,3458060093600
VRG,668864440440
PHR,7533755408800
DRI,716628000000
TNG,3133234855200
PPH,2244980337915
MSH,3645685260000
TCM,4435585614900
VGT,7299500000000
ADS,694897251300
GIL,2023000000000
STK,2483568946800
EVE,522648173850
VNM,154238711841000
SLS,1901595719000
SBT,9716932156500
MCH,155105057069106
CLX,1466744200000
MSN,107027086320000
LSS,864756718800
QNS,17043525911295
MCM,4158000000000
SAB,69643136799600
KDC,15968328011600
PC1,8770074735600
CTR,13840691359000
TV2,2221610828500
SCI,238852561800
VNE,357210164350
TDM,4995000018731
GDT,622275242400
BWE,8092994000000
VEA,56272022400000
VCS,10416000000000
TIG,2555601906000
YEG,1197941767680
GEX,18051710811600
HHS,3013354988840
DHC,3058735824000
DSN,664565495000
TTF,1402186209820
VPH,830566438000
CIG,169684914860
DL1,541804079400
CSC,907184322900
EVG,1323786491400
VIG,315933100000
IPA,2779865075000
HAP,464388686960
PXI,71370000000
FIT,1424319412460
LIG,323287534600
VC7,826381482000
HID,207265586400
RDP,120221017350
DST,93670000000
DAH,278702000000
NRC,324092167000
MST,357220214700
DAG,89264885760
